,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,track_name,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre
0,0,1062,7138,1080497972,WKC Dog Show 2017,15362048,0,0.0,30,10,2.5,4.0,17+,9
1,1,6266,2005,588358613,"Drawing Desk - Draw, Paint, Doodle & Sketch board",116443136,0,0.0,11040,644,4.0,4.5,4+,22
2,2,5109,4569,989442029,"System Status : memory, CPU, network, battery data",2515968,0,1.99,0,0,0.0,0.0,4+,22
3,3,491,3740,933921849,A Call From Santa! Voicemail & Text Messages,64863232,0,0.0,3823,451,4.5,4.5,4+,18
4,4,690,202,324684580,Spotify Music,132510720,0,0.0,878563,8253,4.5,4.5,12+,16
5,5,5827,9888,1141876504,Hot Wheels: Race Off,245804032,0,0.0,3141,280,4.5,4.5,4+,5
6,6,5448,1027,453174055,去哪儿旅行HD-总有你要的低价,2706432,0,0.0,85,0,3.5,0.0,4+,8
7,7,173,4357,977056011,Dragon Heroes: Shooter RPG,672897024,0,0.0,265,12,4.5,4.5,4+,5
8,8,6873,5597,1043318628,BattleHand,199417856,0,0.0,4623,35,4.5,4.5,9+,5
9,9,3686,6606,1069621692,LivePapers - Live Wallpapers from your photos,14437376,0,1.99,31,0,2.5,0.0,4+,13
10,10,2283,7629,1091000556,Growing Pug,54922240,0,0.99,1194,455,4.0,4.0,4+,5
11,11,5,3317,893927401,Toca Nature,156082176,0,2.99,845,105,4.0,4.0,4+,20
12,12,5625,3390,902062673,Desert Golfing,1259520,0,1.99,1362,209,4.5,4.5,4+,5
13,13,5151,600,391304000,"Maps 3D PRO - GPS for Bike, Hike, Ski & Outdoor",25960448,0,4.99,280,12,4.0,4.0,4+,21
14,14,6449,9711,1137479384,Escape from the beach house of everlasting summer.,97858560,0,0.0,3,3,4.5,4.5,4+,5
15,15,6237,4715,998360879,Chain: Collaborate On MyVideo Story/Group Video,95789056,0,0.0,35,0,4.5,0.0,12+,17
16,16,751,1725,552498441,"It's The Great Pumpkin, Charlie Brown",141408256,0,5.99,632,0,4.0,0.0,4+,15
17,17,1753,6234,1061999170,All is Lost,296101888,0,0.0,829,643,4.5,4.5,9+,5
18,18,2388,7151,1080634585,Barbie Dreamtopia - Magical Hair,471601152,0,0.0,1079,35,4.5,4.0,4+,18
19,19,6749,6340,1064676206,Microsoft Selfie,68282368,0,0.0,375,24,4.0,4.0,4+,11
20,20,2265,3298,892311054,360手机浏览器-安全上网看新闻、安心搜索、极速抢票,59220992,0,0.0,11,0,2.5,0.0,17+,14
21,21,3945,10271,1156064689,Pantheon Warfare: The Chaos of Knights,136615936,0,0.0,0,0,0.0,0.0,12+,5
22,22,1450,2604,720825227,Optical Inquisitor 17+,54808576,0,0.99,12099,1922,5.0,5.0,17+,5
23,23,2252,2713,749133753,NOAA Weather Radar - Weather Forecast & HD Radar,108172288,0,0.0,45696,2673,4.5,4.5,4+,0
24,24,5782,2265,642821482,Angry Birds Go!,499580928,0,0.0,75793,953,4.0,3.5,4+,5
25,25,2297,9376,1130221994,目の錯覚で性格診断,27525120,0,0.0,0,0,0.0,0.0,4+,18
26,26,1470,1073,459313476,Tenuto,13062144,0,3.99,562,0,5.0,0.0,4+,16
27,27,6586,7008,1077791959,iLive Pix - Spice Up Your Screen.,2147328,0,1.99,117,5,2.0,3.5,9+,13
28,28,6215,4819,1005030039,Mon Espace - Pôle emploi,111504384,0,0.0,11,0,5.0,0.0,4+,1
29,29,1097,628,394075284,Youku HD,145140736,0,0.0,5683,7,4.0,4.5,12+,18
30,30,4057,8386,1107741196,Banner Saga 2,3321082880,0,9.99,168,2,4.0,3.0,9+,5
31,31,2894,11081,1187617475,Kubik,126644224,0,0.0,142,75,4.5,4.5,4+,5
32,32,6226,5630,1044535426,Mobike - Dockless Bike Share,93101056,0,0.0,494,11,4.5,4.5,4+,8
33,33,2183,7694,1092258126,Back To Square One,128863232,0,0.0,310,85,4.5,4.5,9+,5
34,34,429,553,385145330,Pocketbooth - the photo booth in your pocket,72586240,0,0.99,2377,5,4.5,5.0,4+,11
35,35,2591,2861,797809194,TMNT: Brothers Unite,270014464,0,2.99,449,0,4.0,0.0,9+,5
36,36,3299,1021,451584035,Conservative Talk Radio,13180928,0,2.99,2436,274,4.5,5.0,9+,19
37,37,2835,4792,1003168863,BLEACH Brave Souls,181778432,0,0.0,4815,27,4.5,4.5,12+,5
38,38,1537,3871,944808252,Stray Dog Simulator,127668224,0,0.99,2781,2499,4.0,4.0,9+,5
39,39,2953,2921,819169133,OUTDODGE,41732096,0,0.0,117,48,4.0,4.0,4+,5
40,40,6301,261,335364882,"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,0,0.0,88885,333,4.5,4.0,12+,3
